Country,Cluster,Year
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
Россия,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2016.0
США,Deepfake и медиафальсификации,
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Уязвимости генеративного ИИ (LLM),2016.0
США,Уязвимости генеративного ИИ (LLM),
США,Deepfake и медиафальсификации,2015.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2016.0
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2013.0
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2015.0
Китай,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2013.0
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2014.0
Китай,Классические кибератаки и ВПО,2014.0
США,Deepfake и медиафальсификации,2013.0
США,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,
США,Deepfake и медиафальсификации,
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2015.0
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,
США,Deepfake и медиафальсификации,2014.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,2013.0
Китай,Классические кибератаки и ВПО,2013.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,2014.0
Китай,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,2013.0
Россия,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2012.0
Китай,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2015.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2011.0
Китай,Классические кибератаки и ВПО,2011.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2011.0
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2012.0
Китай,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2014.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2012.0
США,Deepfake и медиафальсификации,2010.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2012.0
Россия,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2014.0
Россия,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2013.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2016.0
США,Классические кибератаки и ВПО,2019.0
Китай,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2017.0
Китай,Классические кибератаки и ВПО,2017.0
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2017.0
Китай,Классические кибератаки и ВПО,2017.0
Россия,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2019.0
Китай,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2020.0
Китай,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Китай,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2020.0
Китай,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2017.0
США,Классические кибератаки и ВПО,2017.0
США,Классические кибератаки и ВПО,2015.0
Россия,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2016.0
США,Классические кибератаки и ВПО,2016.0
Россия,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
Китай,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2014.0
Китай,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2017.0
США,Классические кибератаки и ВПО,2021.0
Китай,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2018.0
Китай,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2014.0
Китай,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2019.0
Россия,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
Китай,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2014.0
Китай,Классические кибератаки и ВПО,2014.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2017.0
Китай,Классические кибератаки и ВПО,2017.0
США,Классические кибератаки и ВПО,2021.0
Россия,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2021.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2021.0
Китай,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2017.0
Китай,Классические кибератаки и ВПО,2017.0
Россия,Классические кибератаки и ВПО,2012.0
США,Классические кибератаки и ВПО,2012.0
Россия,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2021.0
Россия,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2011.0
Россия,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2018.0
Китай,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
Россия,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2021.0
Россия,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
Китай,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
Россия,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2018.0
Китай,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2018.0
Китай,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2019.0
Китай,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
Китай,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2019.0
Россия,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Китай,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Китай,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2019.0
Россия,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2018.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,
Китай,Классические кибератаки и ВПО,
США,Deepfake и медиафальсификации,2019.0
Китай,Deepfake и медиафальсификации,2019.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Россия,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2019.0
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2015.0
Китай,Классические кибератаки и ВПО,2015.0
США,Классические кибератаки и ВПО,2021.0
США,Классические кибератаки и ВПО,
США,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2020.0
Китай,Классические кибератаки и ВПО,2020.0
США,Классические кибератаки и ВПО,2016.0
